Data,potencia
2019-01-01 22:20:00,172.72650000000002
2019-01-01 22:30:00,234.36299999999994
2019-01-01 22:40:00,300.9406666666666
2019-01-01 22:50:00,293.0645
2019-01-01 23:00:00,294.32733333333334
2019-01-01 23:10:00,300.1766666666666
2019-01-01 23:20:00,247.59266666666673
2019-01-01 23:30:00,174.71916666666667
2019-01-01 23:40:00,189.53033333333332
2019-01-01 23:50:00,173.93233333333333
2019-01-02 00:00:00,202.01333333333338
2019-01-02 00:10:00,187.2803333333332
2019-01-02 00:20:00,185.38916666666665
2019-01-02 00:30:00,184.7295
2019-01-02 00:40:00,199.62600000000006
2019-01-02 00:50:00,192.88716666666676
2019-01-02 01:00:00,202.23066666666656
2019-01-02 01:10:00,218.483
2019-01-02 01:20:00,197.05949999999999
2019-01-02 01:30:00,277.5201666666666
2019-01-02 01:40:00,314.11216666666667
2019-01-02 01:50:00,326.51583333333326
2019-01-02 02:00:00,250.95549999999992
2019-01-02 02:10:00,208.342
2019-01-02 02:20:00,184.2448333333333
2019-01-02 02:30:00,190.4265
2019-01-02 02:40:00,203.70600000000002
2019-01-02 02:50:00,189.075
2019-01-02 03:00:00,169.92849999999996
2019-01-02 03:10:00,156.89899999999997
2019-01-02 03:20:00,136.11666666666665
2019-01-02 03:30:00,97.99483333333333
2019-01-02 03:40:00,57.54966666666668
2019-01-02 03:50:00,33.93466666666666
2019-01-02 04:00:00,45.699
2019-01-02 04:10:00,45.26733333333332
2019-01-02 04:20:00,54.90066666666665
2019-01-02 04:30:00,58.428
2019-01-02 04:40:00,50.24133333333332
2019-01-02 04:50:00,51.624833333333314
2019-01-02 05:00:00,53.34016666666666
2019-01-02 05:10:00,50.32466666666667
2019-01-02 05:20:00,52.49516666666666
2019-01-02 05:30:00,55.71116666666667
2019-01-02 05:40:00,52.31166666666665
2019-01-02 05:50:00,53.49833333333333
2019-01-02 06:00:00,47.11099999999998
2019-01-02 06:10:00,57.394999999999975
2019-01-02 06:20:00,54.75016666666667
2019-01-02 06:30:00,50.01933333333334
2019-01-02 06:40:00,50.942
2019-01-02 06:50:00,52.56833333333334
2019-01-02 07:00:00,58.996
2019-01-02 07:10:00,50.58133333333334
2019-01-02 07:20:00,51.40333333333332
2019-01-02 07:30:00,53.172500000000014
2019-01-02 07:40:00,56.008666666666656
2019-01-02 07:50:00,47.332333333333324
2019-01-02 08:00:00,50.953500000000005
2019-01-02 08:10:00,57.50733333333333
2019-01-02 08:20:00,43.52033333333334
2019-01-02 08:30:00,51.68049999999999
2019-01-02 08:40:00,55.95150000000003
2019-01-02 08:50:00,48.23833333333332
2019-01-02 09:00:00,49.748333333333335
2019-01-02 09:10:00,46.50949999999999
2019-01-02 09:20:00,48.183
2019-01-02 09:30:00,41.12483333333333
2019-01-02 09:40:00,46.120499999999986
2019-01-02 09:50:00,45.18900000000003
2019-01-02 10:00:00,45.2515
2019-01-02 10:10:00,50.208333333333336
2019-01-02 10:20:00,41.0115
2019-01-02 10:30:00,45.46583333333333
2019-01-02 10:40:00,46.01466666666668
2019-01-02 10:50:00,47.36316666666665
2019-01-02 11:00:00,44.46133333333333
2019-01-02 11:10:00,46.992166666666655
2019-01-02 11:20:00,44.65133333333335
2019-01-02 11:30:00,48.85916666666665
2019-01-02 11:40:00,46.14083333333334
2019-01-02 11:50:00,47.047000000000004
2019-01-02 12:00:00,42.92533333333331
2019-01-02 12:10:00,44.77250000000001
2019-01-02 12:20:00,38.60483333333334
2019-01-02 12:30:00,45.18966666666667
2019-01-02 12:40:00,42.73783333333334
2019-01-02 12:50:00,44.486833333333344
2019-01-02 13:00:00,45.016
2019-01-02 13:10:00,40.91633333333333
2019-01-02 13:20:00,44.28883333333332
2019-01-02 13:30:00,44.94149999999999
2019-01-02 13:40:00,43.24216666666666
2019-01-02 13:50:00,43.050500000000014
2019-01-02 14:00:00,45.84399999999998
2019-01-02 14:10:00,43.07483333333334
2019-01-02 14:20:00,40.87916666666667
2019-01-02 14:30:00,42.19466666666667
2019-01-02 14:40:00,46.538166666666676
2019-01-02 14:50:00,42.17449999999999
2019-01-02 15:00:00,39.38533333333334
2019-01-02 15:10:00,43.65466666666667
2019-01-02 15:20:00,44.796000000000014
2019-01-02 15:30:00,46.88816666666667
2019-01-02 15:40:00,41.159000000000006
2019-01-02 15:50:00,43.27666666666667
2019-01-02 16:00:00,39.287333333333336
2019-01-02 16:10:00,43.52416666666666
2019-01-02 16:20:00,41.205333333333314
2019-01-02 16:30:00,54.43233333333333
2019-01-02 16:40:00,193.23200000000003
2019-01-02 16:50:00,221.79166666666666
2019-01-02 17:00:00,217.04666666666662
2019-01-02 17:10:00,208.42183333333332
2019-01-02 17:20:00,212.735
2019-01-02 17:30:00,227.72599999999994
2019-01-02 17:40:00,212.89516666666665
2019-01-02 17:50:00,215.45333333333343
2019-01-02 18:00:00,206.7628333333333
2019-01-02 18:10:00,207.99499999999995
2019-01-02 18:20:00,212.86966666666666
2019-01-02 18:30:00,218.38583333333332
2019-01-02 18:40:00,215.24066666666664
2019-01-02 18:50:00,235.3093333333333
2019-01-02 19:00:00,243.34599999999995
2019-01-02 19:10:00,222.42333333333326
2019-01-02 19:20:00,203.85366666666673
2019-01-02 19:30:00,211.39783333333332
2019-01-02 19:40:00,219.19433333333333
2019-01-02 19:50:00,194.49350000000004
2019-01-02 20:00:00,214.73266666666663
2019-01-02 20:10:00,219.60216666666665
2019-01-02 20:20:00,204.28366666666673
2019-01-02 20:30:00,212.7383333333333
2019-01-02 20:40:00,197.4041666666666
2019-01-02 20:50:00,176.54316666666668
2019-01-02 21:00:00,163.0556666666666
2019-01-02 21:10:00,156.52383333333336
2019-01-02 21:20:00,170.46083333333343
2019-01-02 21:30:00,181.85000000000005
2019-01-02 21:40:00,192.07133333333334
2019-01-02 21:50:00,177.052
2019-01-02 22:00:00,158.68199999999996
2019-01-02 22:10:00,174.55049999999997
2019-01-02 22:20:00,152.57600000000002
2019-01-02 22:30:00,157.41833333333335
2019-01-02 22:40:00,174.78099999999998
2019-01-02 22:50:00,204.08600000000004
2019-01-02 23:00:00,184.2058333333333
2019-01-02 23:10:00,188.53316666666666
2019-01-02 23:20:00,167.81400000000005
2019-01-02 23:30:00,164.29333333333332
2019-01-02 23:40:00,160.4356666666667
2019-01-02 23:50:00,197.65833333333333
2019-01-03 00:00:00,196.2413333333333
2019-01-03 00:10:00,176.0176666666666
2019-01-03 00:20:00,136.2235
2019-01-03 00:30:00,174.84166666666667
2019-01-03 00:40:00,163.5653333333333
2019-01-03 00:50:00,146.1305
2019-01-03 01:00:00,172.23000000000008
2019-01-03 01:10:00,156.58800000000002
2019-01-03 01:20:00,152.54283333333336
2019-01-03 01:30:00,173.27816666666658
2019-01-03 01:40:00,170.3085
2019-01-03 01:50:00,158.54583333333332
2019-01-03 02:00:00,177.46383333333338
2019-01-03 02:10:00,173.5535
2019-01-03 02:20:00,148.52016666666663
2019-01-03 02:30:00,134.22166666666666
2019-01-03 02:40:00,152.50700000000003
2019-01-03 02:50:00,127.33749999999999
2019-01-03 03:00:00,53.33466666666667
2019-01-03 03:10:00,74.06516666666668
2019-01-03 03:20:00,61.935833333333335
2019-01-03 03:30:00,59.37883333333332
2019-01-03 03:40:00,53.842666666666666
2019-01-03 03:50:00,54.890333333333324
2019-01-03 04:00:00,58.81716666666667
2019-01-03 04:10:00,44.809
2019-01-03 04:20:00,50.36549999999999
2019-01-03 04:30:00,51.048666666666655
2019-01-03 04:40:00,48.092
2019-01-03 04:50:00,45.11766666666668
2019-01-03 05:00:00,57.403500000000015
